	R_EX_glc_e_	R_EX_ac_e_	R_EX_etoh_e_	R_EX_actn_e_	R_EX_but_e_	R_EX_butoh_e_
0p	-34.932520	0.000000	0.000000	0.000000	0.000000	0.000000
6p	-8.147970	1.081013	0.000000	0.000000	3.292578	0.021970
12p	-4.094768	0.000000	0.142287	0.338591	0.124436	0.706882
18p	-4.308711	-0.054254	0.157310	1.335634	0.000000	2.402525
24p	-4.859619	-0.012346	0.351365	0.838188	-0.512547	2.962231
27p	-4.235346	-0.013276	0.319810	0.187375	-0.397554	2.322271
30p	-0.711113	0.000000	0.144195	0.000000	-0.112125	0.357376
36p	-0.212121	0.113032	0.067299	0.000000	0.000000	0.157447
48p	0.000000	0.000000	0.023621	0.192519	0.042511	0.110911
0f	-89.872828	15.641931	0.000000	0.000000	42.176209	0.000000
6f	-9.650896	0.751805	0.000000	0.000000	2.257197	0.142030
12f	-4.606383	0.000000	0.354131	1.439466	0.000000	2.407143
18f	-2.976039	0.000000	0.463704	0.713196	-0.004418	1.899153
24f	-1.058991	0.047150	0.067577	0.000000	-0.004909	0.548223
27f	-0.638238	0.077561	0.069160	0.000000	-0.052892	0.429842
30f	-0.250177	0.000000	0.000000	0.000000	-0.039259	0.000000
36f	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
48f	0.049161	0.148349	0.030426	0.000000	0.026114	0.000000
